RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020
762573,1156,Downtown,Neighborhood,NY,NY,Mount Vernon,New York-Newark-Jersey City,Westchester County,455611,460990,466021,470361,477162,483980,488524,491587,489679,486237,483296,484258,481821,478962,474884,471200
193555,1157,Bulls Head,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Richmond County,537664,537381,535430,532376,529018,526499,526153,525263,524363,521925,519489,517700,517351,517515,518731,520525
42226,1173,Lansingburgh,Neighborhood,NY,NY,Troy,Albany-Schenectady-Troy,Rensselaer County,122563,121956,121956,122282,123133,123765,124212,124619,125206,125419,126004,126813,127738,128587,129404,130368
10007,1180,Arverne,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,349687,349359,347466,346141,345551,345604,348076,350156,350852,350706,349489,348160,346066,347631,349964,353459
196213,1185,Mariner's Harbor,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Richmond County,400455,400313,398143,396477,394516,394551,393510,392332,390049,388534,387982,387804,387209,386219,386513,387279
403225,1196,Floral park,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,665994,667380,667383,666395,666477,665667,665825,665557,664587,664463,665123,666578,667398,667229,666024,665547
403136,1209,Emerson Hill,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Richmond County,686908,684876,682021,678510,674555,672677,671674,670023,668060,665909,663782,662861,662295,663410,664751,667799
403202,1237,St. George,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Richmond County,448763,451074,452479,450904,446814,444050,441042,441001,441978,443944,444692,445338,444508,444132,443882,446607
270800,1257,Bay Terrace,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,425024,425798,427265,426771,425432,423436,421987,420776,419966,419439,418360,418961,419363,419571,418784,418978
270900,1272,North Riverdale,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Bronx County,299153,301706,303843,305511,304564,303933,304592,305192,305754,306316,306907,307538,308664,308594,308749,309151
272994,1273,Boerum Hill,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,1361280,1353901,1352373,1345853,1340901,1334861,1330027,1322210,1317403,1310989,1301459,1294109,1290206,1294008,1296807,1304572
40084,1293,North Wantagh,Neighborhood,NY,NY,Wantagh,New York-Newark-Jersey City,Nassau County,477057,478810,480767,482494,482643,482814,483637,485111,485504,485354,486243,487510,489210,489482,489136,488964
270840,1296,Front Park,Neighborhood,NY,NY,Buffalo,Buffalo-Cheektowaga-Niagara Falls,Erie County,152791,153902,154726,154119,152872,151992,151356,151497,151934,152919,153373,153481,154222,155103,155847,156749
275206,1324,Riverside Park,Neighborhood,NY,NY,Buffalo,Buffalo-Cheektowaga-Niagara Falls,Erie County,85918,87056,88767,89221,90388,90906,91538,92061,92264,92303,92066,92418,92559,93059,92818,93204
19674,1331,North Merrick,Neighborhood,NY,NY,Merrick,New York-Newark-Jersey City,Nassau County,537940,539115,540195,540455,540255,538775,538038,537464,537593,535889,535950,535638,537217,537331,537369,537407
